Name,Link
Erling Haaland,/en/players/1f44ac21/Erling-Haaland
Kevin De Bruyne,/en/players/e46012d4/Kevin-De-Bruyne
David de Gea,/en/players/7ba6d84e/David-de-Gea
Brenden Aaronson,/en/players/5bc43860/Brenden-Aaronson
George Abbott,/en/players/56628958/George-Abbott
Che Adams,/en/players/f2bf1b0f/Che-Adams
Tyler Adams,/en/players/2b09d998/Tyler-Adams
Tosin Adarabioyo,/en/players/c81d773d/Tosin-Adarabioyo
Nayef Aguerd,/en/players/288e1e13/Nayef-Aguerd
Naouirou Ahamada,/en/players/a6c58494/Naouirou-Ahamada
Rayan Ait Nouri,/en/players/9b398aea/Rayan-Ait-Nouri
Kristoffer Ajer,/en/players/a8c0acb7/Kristoffer-Ajer
Manuel Akanji,/en/players/89ac64a6/Manuel-Akanji
Nathan Ake,/en/players/eaeca114/Nathan-Ake
Marc Albrighton,/en/players/b827d5b3/Marc-Albrighton
Thiago Alcantara,/en/players/77e84962/Thiago-Alcantara
Carlos Alcaraz,/en/players/4abac767/Carlos-Alcaraz
Trent Alexander Arnold,/en/players/cd1acf9d/Trent-Alexander-Arnold
Alisson,/en/players/7a2e46a8/Alisson
Dele Alli,/en/players/cea4ee8f/Dele-Alli
Miguel Almiron,/en/players/862a1c15/Miguel-Almiron
Julian Alvarez,/en/players/15ab5a2b/Julian-Alvarez
Daniel Amartey,/en/players/1a4ef233/Daniel-Amartey
Samuel Amo Ameyaw,/en/players/9eedf0e0/Samuel-Amo-Ameyaw
Joachim Andersen,/en/players/e34fc66d/Joachim-Andersen
Elliot Anderson,/en/players/de31038e/Elliot-Anderson
Jaidon Anthony,/en/players/e4238fb1/Jaidon-Anthony
Michail Antonio,/en/players/ac05f970/Michail-Antonio
Antony,/en/players/99127249/Antony
Cameron Archer,/en/players/05e8ca6d/Cameron-Archer
Alphonse Areola,/en/players/2f965a72/Alphonse-Areola
Joe Aribo,/en/players/328f7d51/Joe-Aribo
Adam Armstrong,/en/players/68c720b5/Adam-Armstrong
Stuart Armstrong,/en/players/97333cf5/Stuart-Armstrong
Kepa Arrizabalaga,/en/players/28d596a0/Kepa-Arrizabalaga
Pierre Emerick Aubameyang,/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Ludwig Augustinsson,/en/players/9fec8860/Ludwig-Augustinsson
Serge Aurier,/en/players/5c2b4f07/Serge-Aurier
Taiwo Awoniyi,/en/players/e5478b87/Taiwo-Awoniyi
Yasin Ayari,/en/players/f173303a/Yasin-Ayari
Andre Ayew,/en/players/5dbefa9d/Andre-Ayew
Jordan Ayew,/en/players/da052c14/Jordan-Ayew
Luke Ayling,/en/players/420d7c7d/Luke-Ayling
Cesar Azpilicueta,/en/players/53cad200/Cesar-Azpilicueta
Benoit Badiashile,/en/players/06df8256/Benoit-Badiashile
Leon Bailey,/en/players/3a233281/Leon-Bailey
Stefan Bajcetic,/en/players/32e8417f/Stefan-Bajcetic
Dominic Ballard,/en/players/ed8d597c/Dominic-Ballard
Patrick Bamford,/en/players/93feac6e/Patrick-Bamford
Shandon Baptiste,/en/players/2886c9b5/Shandon-Baptiste
Harvey Barnes,/en/players/3ea50f67/Harvey-Barnes
Gavin Bazunu,/en/players/c91441dc/Gavin-Bazunu
Mads Bech Sorensen,/en/players/30db8574/Mads-Bech-Sorensen
Jan Bednarek,/en/players/4115ce4e/Jan-Bednarek
Jan Bednarek,/en/players/4115ce4e/Jan-Bednarek
Donny van de Beek,/en/players/50dc94ce/Donny-van-de-Beek
Asmir Begovic,/en/players/7b4de647/Asmir-Begovic
Armel Bella Kotchap,/en/players/a39d11bc/Armel-Bella-Kotchap
Said Benrahma,/en/players/5a04fd92/Said-Benrahma
Rodrigo Bentancur,/en/players/3b8674e6/Rodrigo-Bentancur
Daniel Bentley,/en/players/68db6358/Daniel-Bentley
Victor Bernth Kristiansen,/en/players/505486d6/Victor-Bernth-Kristiansen
Owen Bevan,/en/players/87966294/Owen-Bevan
Giulian Biancone,/en/players/de40e38c/Giulian-Biancone
Philip Billing,/en/players/d328a254/Philip-Billing
Yves Bissouma,/en/players/6c203af0/Yves-Bissouma
Willy Boly,/en/players/a4ac4b8f/Willy-Boly
Sven Botman,/en/players/ccce7025/Sven-Botman
Jarrod Bowen,/en/players/79c84d1c/Jarrod-Bowen
James Bree,/en/players/c07b7c5c/James-Bree
Armando Broja,/en/players/97220da2/Armando-Broja
David Brooks,/en/players/dc4cae05/David-Brooks
Lewis Brunt,/en/players/a2081c6b/Lewis-Brunt
Emi Buendia,/en/players/66b76d44/Emi-Buendia
Hugo Bueno,/en/players/bfc3b3a0/Hugo-Bueno
Facundo Buonanotte,/en/players/468a7a91/Facundo-Buonanotte
Dan Burn,/en/players/b2d31e83/Dan-Burn
Cafu,/en/players/85322440/Cafu
Moises Caicedo,/en/players/16264a81/Moises-Caicedo
Tom Cairney,/en/players/a8748947/Tom-Cairney
Duje Caleta Car,/en/players/94f8d10c/Duje-Caleta-Car
Dominic Calvert Lewin,/en/players/59e6e5bf/Dominic-Calvert-Lewin
Chem Campbell,/en/players/6f711f67/Chem-Campbell
Joao Cancelo,/en/players/bd6351cd/Joao-Cancelo
Thomas Cannon,/en/players/4506aec5/Thomas-Cannon
Sergi Canos,/en/players/1137759d/Sergi-Canos
Diego Carlos,/en/players/b4a014b1/Diego-Carlos
Fabio Carvalho,/en/players/966e28d0/Fabio-Carvalho
Casemiro,/en/players/4d224fe8/Casemiro
Matty Cash,/en/players/2389cdc2/Matty-Cash
Timothy Castagne,/en/players/197640fd/Timothy-Castagne
Jonny Castro,/en/players/e28868f3/Jonny-Castro
Julio Cesar Enciso,/en/players/9cfbad36/Julio-Cesar-Enciso
Nathaniel Chalobah,/en/players/422862ea/Nathaniel-Chalobah
Trevoh Chalobah,/en/players/5515376c/Trevoh-Chalobah
Calum Chambers,/en/players/dc6f5bdd/Calum-Chambers
Shea Charles,/en/players/5cc3ce65/Shea-Charles
Ben Chilwell,/en/players/d2424d1b/Ben-Chilwell
Ryan Christie,/en/players/26ce2263/Ryan-Christie
Carney Chukwuemeka,/en/players/b2f9c73e/Carney-Chukwuemeka
Bobby Clark,/en/players/73341ace/Bobby-Clark
Nathaniel Clyne,/en/players/0442183b/Nathaniel-Clyne
Conor Coady,/en/players/2928dca2/Conor-Coady
Jack Colback,/en/players/963a9201/Jack-Colback
Seamus Coleman,/en/players/0420d84f/Seamus-Coleman
Nathan Collins,/en/players/a8c19eb8/Nathan-Collins
Levi Colwill,/en/players/700783e7/Levi-Colwill
Lewis Cook,/en/players/2afc7272/Lewis-Cook
Steve Cook,/en/players/3e5e4e63/Steve-Cook
Liam Cooper,/en/players/dc64b8b3/Liam-Cooper
Maxwel Cornet,/en/players/beb391dd/Maxwel-Cornet
Diego Costa,/en/players/a190d597/Diego-Costa
Vladimir Coufal,/en/players/fdf3cb77/Vladimir-Coufal
Philippe Coutinho,/en/players/0ef89a37/Philippe-Coutinho
Conor Coventry,/en/players/a5ca9127/Conor-Coventry
Matthew Craig,/en/players/bc914523/Matthew-Craig
Aaron Cresswell,/en/players/4f974391/Aaron-Cresswell
Marc Cucurella,/en/players/1daec722/Marc-Cucurella
Matheus Cunha,/en/players/dc62b55d/Matheus-Cunha
Patson Daka,/en/players/ca45605e/Patson-Daka
Diogo Dalot,/en/players/d9565625/Diogo-Dalot
Mikkel Damsgaard,/en/players/215f3907/Mikkel-Damsgaard
Danilo,/en/players/a816dbfb/Danilo
Arnaut Danjuma,/en/players/f08490a6/Arnaut-Danjuma
Josh Dasilva,/en/players/60344e4f/Josh-Dasilva
David Datro Fofana,/en/players/e82900ef/David-Datro-Fofana
Ben Davies,/en/players/44781702/Ben-Davies
Tom Davies,/en/players/9228b07c/Tom-Davies
Craig Dawson,/en/players/3e9e06cb/Craig-Dawson
Craig Dawson,/en/players/3e9e06cb/Craig-Dawson
Kevin De Bruyne,/en/players/e46012d4/Kevin-De-Bruyne
Siriki Dembele,/en/players/11f54bd5/Siriki-Dembele
Leander Dendoncker,/en/players/5a7301ae/Leander-Dendoncker
Leander Dendoncker,/en/players/5a7301ae/Leander-Dendoncker
Emmanuel Dennis,/en/players/2c44a35d/Emmanuel-Dennis
Halil Dervisoglu,/en/players/9d8cf204/Halil-Dervisoglu
Kiernan Dewsbury Hall,/en/players/5c74c0f5/Kiernan-Dewsbury-Hall
Ibrahima Diallo,/en/players/11ff3d56/Ibrahima-Diallo
Ruben Dias,/en/players/31c69ef1/Ruben-Dias
Luis Diaz,/en/players/4a1a9578/Luis-Diaz
Eric Dier,/en/players/ac861941/Eric-Dier
